"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"TMEM132A",3.02579830798705e-14,0.413414111982869,0.627,0.183,3.17648306372481e-10,"0"
"OPTN",3.14088392861134e-14,-0.674314487462165,0.16,0.671,3.29729994825619e-10,"0"
"ST6GALNAC4",4.44177812809725e-14,0.484348456222108,0.547,0.123,4.66297867887650e-10,"0"
"HSPA1A",4.65878409096016e-14,-0.632423819037586,0.64,0.858,4.89079153868997e-10,"0"
"WDR75",5.09798449180231e-14,0.506092761210897,0.787,0.338,5.35186411949407e-10,"0"
"PIK3C2B",5.31123945954365e-14,0.431374080438812,0.667,0.21,5.57573918462892e-10,"0"
"PMS2P1",5.5122574161163e-14,0.476413651785364,0.853,0.393,5.7867678354389e-10,"0"
"CEP164",5.8383110422367e-14,0.461655035246713,0.653,0.178,6.12905893214008e-10,"0"
"NOTCH3",6.07662694670262e-14,0.356394154086945,0.907,0.402,6.37924296864841e-10,"0"
"GSTCD",6.0835164466926e-14,0.489927416247878,0.587,0.16,6.38647556573789e-10,"0"
"ANXA2",8.08585986070599e-14,-0.317332554694498,0.907,1,8.48853568176914e-10,"0"
"RIOK3",9.15237977204544e-14,-0.634962434599213,0.373,0.776,9.6081682846933e-10,"0"
"LTV1",9.72838401535433e-14,0.457454929497996,0.92,0.525,1.0212857539319e-09,"0"
"AIG1",9.8834731005057e-14,0.453931364648411,0.92,0.511,1.03756700609109e-09,"0"
"GATA3",1.05253611889637e-13,0.428969213924282,1,0.58,1.10495241761741e-09,"0"
"ANXA1",1.08972619970389e-13,-0.903819350865172,0.067,0.584,1.14399456444915e-09,"0"
"INIP",1.32759884092067e-13,0.467093049285892,0.933,0.452,1.39371326319852e-09,"0"
"FOSL2",1.33739265020304e-13,-0.570657793344941,0.32,0.744,1.40399480418315e-09,"0"
"PER2",1.36134268735466e-13,0.347596509260987,1,0.744,1.42913755318493e-09,"0"
"GATD1",1.36461355620345e-13,0.392397960605286,0.613,0.155,1.43257131130238e-09,"0"
"GTF2A2",1.60153093894387e-13,0.309849061852092,0.973,0.781,1.68128717970327e-09,"0"
"TAPBP",1.62452586703139e-13,-0.426660431352628,0.733,0.895,1.70542725520956e-09,"0"
"EGR1",1.63733193844108e-13,-0.474990622450904,0.813,0.895,1.71887106897545e-09,"0"
"ABCC4",1.65003481251742e-13,0.515913079502472,0.627,0.201,1.73220654618079e-09,"0"
"REEP3",1.66097478451669e-13,0.424404249175992,0.96,0.63,1.74369132878562e-09,"0"
"INSR",1.66597329225521e-13,0.35011985371197,1,0.781,1.74893876220952e-09,"0"
"SQSTM1",1.66758772580193e-13,-0.422515114775766,0.827,0.954,1.75063359454687e-09,"0"
"HACD3",1.73460619302095e-13,0.400937503736911,1,0.694,1.82098958143339e-09,"0"
"LOC100506403",1.90779927663342e-13,-0.632920912651949,0.2,0.699,2.00280768060977e-09,"0"
"FDFT1",1.93951884445931e-13,0.306577457125422,1,0.804,2.03610688291338e-09,"0"
"C2CD2",2.14636584122413e-13,0.435757852343691,0.533,0.114,2.25325486011709e-09,"0"
"ITGB5",2.18098359074537e-13,0.469779931120005,0.827,0.32,2.28959657356449e-09,"0"
"PEX3",2.21501756476738e-13,0.516078771662981,0.8,0.361,2.32532543949279e-09,"0"
"HLA-DRB1",2.22601633778778e-13,-0.768778807165889,0.053,0.543,2.33687195140961e-09,"0"
"TMEM40",2.27912310045782e-13,0.470018307317448,0.44,0.078,2.39262343086062e-09,"0"
"HLA-F",2.28666804000684e-13,-0.780187868659512,0.013,0.516,2.40054410839918e-09,"0"
"SMIM14",2.77562177195396e-13,0.33810146304919,1,0.799,2.91384773619727e-09,"0"
"PLD3",2.78481354861975e-13,0.45945901062944,0.773,0.329,2.92349726334101e-09,"0"
"HLA-DRA",3.05433330006501e-13,-0.83455302664371,0.213,0.694,3.20643909840825e-09,"0"
"WSB2",3.1139125659687e-13,0.367737998660512,0.987,0.648,3.26898541175394e-09,"0"
"TTC6",3.76792578602727e-13,0.43594912043454,0.84,0.356,3.95556849017143e-09,"0"
"NEIL2",3.88801278686025e-13,0.526976418516291,0.747,0.338,4.08163582364589e-09,"0"
"PSMB9",4.35761607783455e-13,-0.860475139270222,0.04,0.53,4.57462535851071e-09,"0"
"SCGB2A2",4.37989253812612e-13,0.5396468157977,0.88,0.342,4.5980111865248e-09,"0"
"CRAT",4.40767867005927e-13,0.481329636533928,0.533,0.142,4.62718106782822e-09,"0"
"ETFA",4.5963318498945e-13,0.386388760891369,0.96,0.689,4.82522917601924e-09,"0"
"TMEM25",4.60858686838391e-13,0.466462151117076,0.627,0.183,4.83809449442943e-09,"0"
"CCDC25",4.83530122283059e-13,0.445699736323929,0.893,0.502,5.07609922372755e-09,"0"
"TMEM33",5.31312152238944e-13,0.326274649893912,0.987,0.772,5.57771497420444e-09,"0"
"VASH2",5.95125847879811e-13,0.426958172717352,0.453,0.087,6.24763115104226e-09,"0"
"TMEM97",6.72122007806761e-13,0.477559098726252,0.867,0.447,7.05593683795538e-09,"0"
"MACIR",6.90451628305982e-13,0.441570298292605,0.64,0.187,7.2483611939562e-09,"0"
"BLNK",6.97536723061746e-13,0.463311244536432,0.747,0.283,7.32274051870221e-09,"0"
"GLRX",8.63803189423281e-13,-0.773806704022992,0.053,0.53,9.0682058825656e-09,"0"
"RGPD1",9.93956317676246e-13,0.375815308015238,0.467,0.096,1.04345534229652e-08,"0"
"UBA6",1.04864025509948e-12,0.31688888333544,1,0.749,1.10086253980343e-08,"0"
"PLCB3",1.18179793598948e-12,0.25354019008233,0.56,0.146,1.24065147320176e-08,"0"
